BOROUGH,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
1,404,57,10009,0,0,0,1925,2,2400000
1,405,51,10009,0,0,0,1910,2,380000
1,406,50,10009,0,0,0,1901,2,430000
1,379,45,10009,0,0,0,1920,2,499900
1,386,36,10009,0,0,0,1940,2,1400000
1,386,58,10009,0,0,0,1900,2,694000
1,385,1102,10009,47,0,47,2005,2,28000000
1,394,1602,0,0,0,0,0,2,8058923
1,397,1301,10002,132,0,132,1989,2,52625000
1,386,1002,10009,1,0,1,0,2,620000
1,373,1003,10009,1,0,1,1920,2,762669
1,373,1004,10009,1,0,1,1920,2,772851
1,373,1005,10009,1,0,1,1920,2,1034880
1,373,1009,10009,1,0,1,1920,2,800000
1,373,1011,10009,1,0,1,1920,2,2295759
1,375,1004,10009,1,0,1,0,2,875000
1,378,1008,10009,1,0,1,2014,2,701341
1,378,1013,10009,1,0,1,2014,2,753421
1,378,1017,10009,1,0,1,2014,2,771980
1,378,1026,10009,1,0,1,2014,2,1247356
1,384,1222,10002,1,0,1,2005,2,2150000
1,390,1009,10009,1,0,1,0,2,550000
1,390,1014,10009,1,0,1,0,2,1085000
1,392,1113,10009,1,0,1,2005,2,910000
1,394,1507,10009,1,0,1,1910,2,910000
1,394,1510,10009,1,0,1,1910,2,730000
1,394,1513,10009,1,0,1,1910,2,725000
1,394,1531,10009,1,0,1,1910,2,1300000
1,394,1536,10009,1,0,1,1910,2,770000
1,396,1012,10009,1,0,1,2008,2,1750000
1,397,1018,10009,1,0,1,0,2,1150000
1,397,1104,10002,1,0,1,0,2,2085000
1,402,1302,10009,1,0,1,2014,2,1680112
1,402,1303,10009,1,0,1,2014,2,1150000
1,402,1304,10009,1,0,1,2014,2,1308451
1,402,1305,10009,1,0,1,2014,2,1863397
1,402,1306,10009,1,0,1,2014,2,1603743
1,402,1307,10009,1,0,1,2014,2,1781937
1,402,1308,10009,1,0,1,2014,2,1245000
1,402,1309,10009,1,0,1,2014,2,1200000
1,402,1310,10009,1,0,1,2014,2,1900000
1,402,1311,10009,1,0,1,2014,2,1150000
1,402,1312,10009,1,0,1,2014,2,1800000
1,402,1313,10009,1,0,1,2014,2,1318633
1,402,1314,10009,1,0,1,2014,2,1385000
1,402,1315,10009,1,0,1,2014,2,2150000
1,402,1316,10009,1,0,1,2014,2,1236300
1,402,1317,10009,1,0,1,2014,2,1934675
1,402,1318,10009,1,0,1,2014,2,1237000
1,402,1319,10009,1,0,1,2014,2,1461188
1,402,1320,10009,1,0,1,2014,2,1957475
1,402,1321,10009,1,0,1,2014,2,1221900
1,402,1322,10009,1,0,1,2014,2,2250000
1,402,1323,10009,1,0,1,2014,2,1495000
1,402,1324,10009,1,0,1,2014,2,1310000
1,402,1325,10009,1,0,1,2014,2,1934675
1,402,1326,10009,1,0,1,2014,2,1250000
1,402,1327,10009,1,0,1,2014,2,2611811
1,402,1328,10009,1,0,1,2014,2,4159551
1,402,1329,10009,1,0,1,2014,2,1303360
1,402,1330,10009,1,0,1,2014,2,2250000
1,402,1331,10009,1,0,1,2014,2,2392887
1,402,1332,10009,1,0,1,2014,2,1578287
1,402,1333,10009,1,0,1,2014,2,1400093
1,405,1303,10009,1,0,1,1965,2,4552375
1,405,1315,10009,1,0,1,1965,2,750000
1,405,1322,10009,1,0,1,1965,2,2385000
1,406,1203,10009,1,0,1,2013,2,1400093
1,406,1207,10009,1,0,1,2013,2,1478499
1,391,19,10009,3,1,4,1910,2,3300000
1,393,4,10009,4,1,5,1900,2,7215000
1,394,5,10009,5,1,6,1910,2,4750000
1,372,1003,10009,1,0,1,2003,2,805000
1,372,1004,10009,1,0,1,2003,2,735000
1,375,1105,10009,1,0,1,2003,2,810000
1,384,1007,10009,1,0,1,2005,2,3035000
1,394,1304,10009,1,0,1,0,2,630000
1,394,1306,10009,1,0,1,0,2,680000
1,394,1408,10009,1,0,1,2006,2,995000
1,405,1108,10009,1,0,1,0,2,494500
1,406,1104,10009,1,0,1,2007,2,1875000
1,384,1301,10009,0,1,1,1900,2,2700000
1,387,1001,10009,0,1,1,1951,2,1500000
1,389,1003,10009,0,0,0,1900,2,635000
1,389,1003,10009,0,0,0,1900,2,700000
1,389,1003,10009,0,0,0,1900,2,1100000
1,389,1003,10009,0,0,0,1900,2,1900000
1,398,1102,10009,0,0,0,1920,2,485000
1,399,1002,10009,0,0,0,1920,2,1175000
1,390,34,10009,0,1,1,1899,4,3700000
1,384,1201,10002,0,0,1,2005,4,10800000
1,397,1302,10002,0,0,1,1989,4,52625000
1,771,52,10011,1,0,1,1901,1,7425000
1,769,49,10011,2,1,3,1920,1,7750000
1,719,67,10011,3,0,3,1901,1,8300000
1,791,1002,10011,1,0,1,1920,1,2850000
1,696,37,10001,6,1,7,1901,2,16000000
1,722,6,10011,4,0,4,1910,2,5950000
1,743,56,10011,24,0,24,1900,2,7375000
1,745,63,10011,4,0,4,1900,2,8000000
1,764,68,10011,22,2,24,1901,2,14100000
1,765,25,10011,9,0,9,1901,2,1583840
1,765,25,10011,9,0,9,1901,2,416790
1,765,25,10011,9,0,9,1901,2,630370
1,770,53,10011,9,0,9,1920,2,29400000
1,790,8,10011,8,1,9,1920,2,6450000
1,790,9,10011,15,1,16,1901,2,5500000
1,790,10,10011,8,1,9,1920,2,5750000
1,790,63,10011,8,0,8,1910,2,3485000
1,695,6,10011,6,1,7,2014,2,4600000
1,794,11,10011,30,2,32,2014,2,2341975
1,717,61,10011,0,0,0,1920,2,1835000
1,717,70,10011,0,0,0,1910,2,700000
1,719,34,10011,0,0,0,1900,2,1587500
1,719,36,10011,0,0,0,1900,2,310000
1,719,36,10011,0,0,0,1900,2,550000
1,720,21,10011,0,0,0,1900,2,354500
1,720,34,10011,0,0,0,1850,2,1750000
1,720,42,10011,0,0,0,1900,2,485000
1,720,42,10011,0,0,0,1900,2,1425000
1,720,65,10011,0,0,0,1900,2,705000
1,720,66,10011,0,0,0,1900,2,2575000
1,720,70,10011,0,0,0,1905,2,2200000
1,720,76,10011,0,0,0,1900,2,1525000
1,722,13,10011,0,0,0,1900,2,1750000
1,722,46,10001,0,0,0,1910,2,289000
1,722,47,10001,0,0,0,1910,2,670000
1,722,47,10001,0,0,0,1910,2,699000
1,740,46,10011,0,0,0,1910,2,180000
1,740,47,10011,0,0,0,1900,2,1237500
1,740,48,10011,0,0,0,1900,2,1300000
1,740,50,10011,0,0,0,1900,2,592500
1,741,41,10011,0,0,0,1900,2,311000
1,741,41,10011,0,0,0,1900,2,770000
1,741,41,10011,0,0,0,1900,2,560000
1,742,57,10011,0,0,0,1910,2,2000000
1,742,59,10011,0,0,0,1920,2,610000
1,743,6,10011,0,0,0,1910,2,590000
1,743,6,10011,0,0,0,1910,2,1700000
1,743,74,10011,0,0,0,1900,2,590000
1,744,3,10011,0,0,0,1940,2,441975
1,744,3,10011,0,0,0,1940,2,617777
1,744,3,10011,0,0,0,1940,2,644000
1,744,18,10011,0,0,0,1850,2,1100000
1,744,19,10011,0,0,0,1900,2,367500
1,744,32,10011,24,0,24,1850,2,282000
1,744,32,10011,0,0,0,1850,2,710000
1,744,32,10011,0,0,0,1850,2,282000
1,745,16,10011,0,0,0,1920,2,1280000
1,745,16,10011,0,0,0,1920,2,455000
1,745,17,10011,0,0,0,1900,2,455000
1,745,17,10011,0,0,0,1900,2,685000
1,745,17,10011,0,0,0,1900,2,550000
1,745,21,10011,0,0,0,1864,2,622500
1,745,21,10011,0,0,0,1864,2,1350000
1,745,50,10011,0,0,0,1900,2,999000
1,745,56,10011,0,0,0,1925,2,490000
1,745,56,10011,0,0,0,1925,2,690000
1,745,56,10011,0,0,0,1925,2,999000
1,745,56,10011,0,0,0,1925,2,470000
1,745,56,10011,0,0,0,1925,2,434000
1,746,6,10011,0,0,0,1910,2,1085000
1,746,71,10011,0,0,0,1900,2,640000
1,746,72,10011,0,0,0,1910,2,440000
1,765,62,10011,0,0,0,1915,2,620000
1,765,62,10011,0,0,0,1915,2,640000
1,765,62,10011,0,0,0,1915,2,625000
1,766,23,10011,0,0,0,1910,2,1080000
1,766,23,10011,0,0,0,1910,2,659000
1,766,23,10011,0,0,0,1910,2,500000
1,766,23,10011,0,0,0,1910,2,460000
1,766,23,10011,0,0,0,1910,2,480000
1,770,56,10011,0,0,0,1910,2,2495000
1,770,56,10011,0,0,0,1910,2,1625000
1,770,68,10011,0,0,0,1910,2,765000
1,771,35,10011,0,0,0,1905,2,1775000
1,771,71,10011,0,0,0,1905,2,730000
1,771,71,10011,0,0,0,1905,2,2660000
1,771,73,10011,0,0,0,1920,2,500000
1,771,73,10011,0,0,0,1920,2,540000
1,772,12,10011,0,0,0,1917,2,1375000
1,772,12,10011,0,0,0,1917,2,827500
1,772,12,10011,0,0,0,1917,2,582500
1,772,12,10011,0,0,0,1917,2,950000
1,791,25,10011,0,0,0,1911,2,750000
1,791,25,10011,0,0,0,1911,2,583000
1,791,25,10011,0,0,0,1911,2,735000
1,791,71,10011,0,0,0,1920,2,1500000
1,791,71,10011,0,0,0,1920,2,880000
1,800,21,10011,0,0,0,1910,2,2450000
1,694,42,10011,0,0,0,2003,2,732500
1,694,42,10011,0,0,0,2003,2,518000
1,694,42,10011,0,0,0,2003,2,1215000
1,694,42,10011,0,0,0,2003,2,775000
1,694,42,10011,0,0,0,2003,2,800000
1,694,42,10011,0,0,0,2003,2,900000
1,694,42,10011,0,0,0,2003,2,850000
1,694,42,10011,0,0,0,2003,2,735000
1,694,42,10011,0,0,0,2003,2,655000
1,694,42,10011,0,0,0,2003,2,1080000
1,717,9,10011,0,0,0,1983,2,790000
1,720,47,10011,0,0,0,1920,2,639000
1,720,47,10011,0,0,0,1920,2,875000
1,720,49,10011,0,0,0,1920,2,452000
1,720,60,10011,0,0,0,1900,2,932500
1,720,60,10011,0,0,0,1900,2,980000
1,722,18,10011,0,0,0,1920,2,701574
1,722,18,10011,0,0,0,1920,2,1200000
1,738,18,10014,0,0,0,1900,2,875000
1,738,18,10014,0,0,0,1900,2,979000
1,740,19,10011,0,0,0,1902,2,1350000
1,742,22,10011,0,0,0,1928,2,635000
1,742,49,10011,0,0,0,1900,2,750000
1,744,1,10011,0,0,0,1928,2,995000
1,744,1,10011,0,0,0,1928,2,661862
1,744,1,10011,0,0,0,1928,2,835000
1,744,1,10011,0,0,0,1928,2,1017000
1,747,28,10011,0,0,0,1926,2,1495000
1,748,1,10011,0,0,0,1963,2,113692
1,748,1,10011,0,0,0,1963,2,101164
1,748,1,10011,0,0,0,1963,2,86231
1,748,1,10011,0,0,0,1963,2,72260
1,748,1,10011,0,0,0,1963,2,103640
1,748,1,10011,0,0,0,1963,2,88332
1,748,1,10011,0,0,0,1963,2,101726
1,748,1,10011,0,0,0,1963,2,116447
1,748,1,10011,0,0,0,1963,2,87346
1,749,1,10001,0,0,0,1963,2,86712
1,749,1,10001,0,0,0,1963,2,87346
1,749,24,10001,0,0,0,1963,2,144521
1,749,24,10001,0,0,0,1963,2,137150
1,751,1,10001,0,0,0,1960,2,118280
1,751,1,10001,0,0,0,1960,2,86712
1,751,1,10001,0,0,0,1960,2,114975
1,751,1,10001,0,0,0,1960,2,129347
1,751,1,10001,0,0,0,1960,2,100603
1,751,1,10001,0,0,0,1960,2,72260
1,751,1,10001,0,0,0,1960,2,101726
1,751,1,10001,0,0,0,1960,2,87346
1,752,1,10001,0,0,0,1963,2,86231
1,764,62,10011,0,0,0,1930,2,655000
1,764,62,10011,0,0,0,1930,2,785000
1,765,70,10011,0,0,0,1930,2,915000
1,765,70,10011,0,0,0,1930,2,849000
1,765,70,10011,0,0,0,1930,2,300000
1,766,9,10011,0,0,0,1930,2,495846
1,766,39,10011,0,0,0,1930,2,1225000
1,770,48,10011,0,0,0,1902,2,1115000
1,770,48,10011,0,0,0,1902,2,1260000
1,770,48,10011,0,0,0,1902,2,1195000
1,770,48,10011,0,0,0,1902,2,1075000
1,770,59,10011,0,0,0,1913,2,267701
1,770,59,10011,0,0,0,1913,2,284101
1,770,59,10011,0,0,0,1913,2,207564
1,770,59,10011,0,0,0,1913,2,289568
1,770,59,10011,0,0,0,1913,2,218498
1,770,59,10011,0,0,0,1913,2,207564
1,771,23,10011,0,0,0,1889,2,500000
1,771,28,10011,0,0,0,1920,2,670000
1,771,38,10011,0,0,0,1963,2,530000
1,771,38,10011,0,0,0,1963,2,460000
1,771,38,10011,0,0,0,1963,2,605000
1,771,38,10011,0,0,0,1963,2,677500
1,771,38,10011,0,0,0,1963,2,425000
1,771,38,10011,0,0,0,1963,2,590000
1,771,38,10011,0,0,0,1963,2,475000
1,771,38,10011,0,0,0,1963,2,469000
1,771,65,10011,0,0,0,1920,2,880000
1,772,69,10011,0,0,0,1900,2,2000000
1,773,12,10011,0,0,0,1940,2,1090000
1,773,12,10011,0,0,0,1940,2,945000
1,773,12,10011,0,0,0,1940,2,592500
1,773,12,10011,0,0,0,1940,2,653000
1,773,12,10011,0,0,0,1940,2,1250000
1,773,12,10011,0,0,0,1940,2,1075000
1,773,12,10011,0,0,0,1940,2,590000
1,773,12,10011,0,0,0,1940,2,1535000
1,773,12,10011,0,0,0,1940,2,975000
1,773,22,10011,0,0,0,1898,2,1950000
1,773,22,10011,0,0,0,1898,2,3850000
1,775,22,10001,0,0,0,1939,2,905000
1,775,22,10001,0,0,0,1939,2,900000
1,775,22,10001,0,0,0,1939,2,890000
1,775,22,10001,0,0,0,1939,2,520000
1,775,22,10001,0,0,0,1939,2,810000
1,776,17,10001,0,0,0,1926,2,1600000
1,776,17,10001,0,0,0,1926,2,2495000
1,776,17,10001,0,0,0,1926,2,3051000
1,790,1,10011,0,0,0,1963,2,1700000
1,790,1,10011,0,0,0,1963,2,1650000
1,790,1,10011,0,0,0,1963,2,867500
1,790,1,10011,0,0,0,1963,2,737500
1,790,1,10011,0,0,0,1963,2,540000
1,790,1,10011,0,0,0,1963,2,1111000
1,790,1,10011,0,0,0,1963,2,981000
1,790,1,10011,0,0,0,1963,2,1650000
1,790,1,10011,0,0,0,1963,2,1950000
1,790,1,10011,0,0,0,1963,2,1390000
1,790,1,10011,0,0,0,1963,2,630000
1,790,1,10011,0,0,0,1963,2,708000
1,790,1,10011,0,0,0,1963,2,865000
1,790,1,10011,0,0,0,1963,2,1275000
1,790,1,10011,0,0,0,1963,2,615000
1,790,40,10011,0,0,0,1920,2,939000
1,790,40,10011,0,0,0,1920,2,545000
1,790,40,10011,0,0,0,1920,2,560000
1,790,66,10011,0,0,0,1910,2,527500
1,791,1,10011,0,0,0,1938,2,1970000
1,791,1,10011,0,0,0,1938,2,1450000
1,791,1,10011,0,0,0,1938,2,1850000
1,791,9,10011,0,0,0,1940,2,5000000
1,791,9,10011,0,0,0,1940,2,1753000
1,791,62,10011,0,0,0,1927,2,949000
1,792,33,10011,0,0,0,1900,2,2075000
1,792,33,10011,0,0,0,1900,2,6000000
1,796,1,10011,0,0,0,1938,2,615000
1,796,1,10011,0,0,0,1938,2,675000
1,796,1,10011,0,0,0,1938,2,615000
1,796,7,10011,0,0,0,1938,2,818750
1,796,7,10011,0,0,0,1938,2,445000
1,796,7,10011,0,0,0,1938,2,550000
1,796,7,10011,0,0,0,1938,2,950000
1,796,13,10011,0,0,0,1909,2,2275000
1,797,76,10011,0,0,0,1950,2,900000
1,797,76,10011,0,0,0,1950,2,839000
1,797,76,10011,0,0,0,1950,2,839000
1,798,17,10011,0,0,0,1909,2,1810000
1,798,26,10011,0,0,0,1909,2,4815000
1,799,35,10011,0,0,0,1958,2,433000
1,801,30,10001,0,0,0,1905,2,1770000
1,801,30,10001,0,0,0,1905,2,1645000
1,801,30,10001,0,0,0,1905,2,1700000
1,802,31,10001,0,0,0,1910,2,2000000
1,802,35,10001,0,0,0,1904,2,997500
1,802,35,10001,0,0,0,1904,2,210000
1,802,52,10001,0,0,0,1907,2,2560000
1,802,52,10001,0,0,0,1907,2,2650000
1,764,1008,10011,1,0,1,1930,2,1150000
1,764,1105,10011,1,0,1,1930,2,826000
1,690,1002,10011,1,0,1,2007,2,2560000
1,690,1008,10011,1,0,1,2007,2,2815000
1,690,1012,10011,1,0,1,2007,2,3699000
1,690,1014,10011,1,0,1,2007,2,3020000
1,691,1028,10011,1,0,1,2007,2,2600000
1,691,1050,10011,1,0,1,2007,2,7950000
1,691,1108,10011,1,0,1,2013,2,3210237
1,691,1112,10011,1,0,1,2013,2,5875000
1,691,1112,10011,1,0,1,2013,2,44105000
1,691,1113,10011,1,0,1,2013,2,4650000
1,691,1135,10011,1,0,1,2013,2,2685000
1,691,1139,10011,1,0,1,2013,2,15350000
1,691,1140,10011,1,0,1,2013,2,14650000
1,693,1102,10011,1,0,1,2013,2,2760000
1,693,1105,10011,1,0,1,2013,2,2853850
1,693,1107,10011,1,0,1,2013,2,2599287
1,693,1109,10011,1,0,1,2013,2,2760000
1,693,1114,10011,1,0,1,2013,2,6315900
1,693,1115,10011,1,0,1,2013,2,6875937
1,693,1116,10011,1,0,1,2013,2,7950000
1,693,1123,10011,1,0,1,2013,2,5959512
1,693,1127,10011,1,0,1,2013,2,10490725
1,693,1128,10011,1,0,1,2013,2,13435504
1,693,1129,10011,1,0,1,2013,2,10126700
1,693,1130,10011,1,0,1,2013,2,14563725
1,693,1131,10011,1,0,1,2013,2,10948937
1,693,1132,10011,1,0,1,2013,2,15139625
1,693,1133,10011,1,0,1,2013,2,12018100
1,693,1134,10011,1,0,1,2013,2,15887450
1,693,1135,10011,1,0,1,2013,2,11560349
1,693,1136,10011,1,0,1,2013,2,16466145
1,693,1137,10011,1,0,1,2013,2,12829362
1,693,1138,10011,1,0,1,2013,2,16905700
1,693,1139,10011,1,0,1,2013,2,13443650
1,693,1140,10011,1,0,1,2013,2,17809925
1,693,1141,10011,1,0,1,2013,2,13478450
1,693,1142,10011,1,0,1,2013,2,34623250
1,693,1143,10011,1,0,1,2013,2,33605000
1,694,1031,10011,1,0,1,0,2,6300000
1,695,1104,10011,1,0,1,2005,2,2800000
1,695,1310,10011,1,0,1,2005,2,799000
1,695,1317,10011,1,0,1,2005,2,1340000
1,695,1419,10011,1,0,1,2005,2,1060000
1,695,1420,10011,1,0,1,2005,2,1035000
1,695,1441,10011,1,0,1,2005,2,1040000
1,695,1450,10011,1,0,1,2005,2,1045000
1,695,1454,10011,1,0,1,2005,2,1025000
1,695,1464,10011,1,0,1,2005,2,740000
1,695,1494,10011,1,0,1,2005,2,1210000
1,695,1514,10011,1,0,1,2005,2,995000
1,695,1527,10011,1,0,1,2005,2,995000
1,695,1540,10011,1,0,1,2005,2,785000
1,695,1569,10011,1,0,1,2005,2,1020000
1,695,1575,10011,1,0,1,2005,2,975000
1,695,1585,10011,1,0,1,2005,2,1650000
1,695,1590,10011,1,0,1,2005,2,1700000
1,695,1593,10011,1,0,1,2005,2,257068
1,695,1596,10011,1,0,1,2005,2,1075000
1,695,1633,10011,1,0,1,2005,2,2900000
1,695,1634,10011,1,0,1,2005,2,2875000
1,695,1723,10011,1,0,1,2005,2,6000000
1,695,1809,10011,1,0,1,2007,2,6500000
1,695,1811,10011,1,0,1,2007,2,4225000
1,696,1105,10001,1,0,1,2007,2,3750000
1,699,1213,10001,1,0,1,2009,2,1199000
1,699,1219,10001,1,0,1,2009,2,1255000
1,699,1231,10001,1,0,1,2009,2,1280000
1,699,1249,10001,1,0,1,2009,2,1300000
1,699,1255,10001,1,0,1,2009,2,1300000
1,699,1261,10001,1,0,1,2009,2,1275000
1,699,1276,10001,1,0,1,2009,2,2900000
1,699,1290,10001,1,0,1,2009,2,2750000
1,699,1306,10001,0,0,0,0,2,7165843
1,699,1309,10001,0,0,0,0,2,4937073
1,699,1311,0,0,0,0,0,2,6033271
1,699,1316,0,0,0,0,0,2,6198750
1,699,1317,10001,0,0,0,0,2,14504000
1,699,1319,10001,0,0,0,0,2,4987833
1,699,1320,10001,0,0,0,0,2,5191483
1,699,1321,10001,0,0,0,0,2,6398500
1,699,1323,10001,0,0,0,0,2,9366308
1,699,1324,10001,0,0,0,0,2,5070293
1,699,1333,10001,0,0,0,0,2,7250000
1,699,1337,10001,0,0,0,0,2,10124043
1,714,1015,10011,1,0,1,2006,2,1195000
1,714,1040,10011,1,0,1,2006,2,1500000
1,714,1070,10011,1,0,1,2006,2,2075000
1,714,1077,10011,1,0,1,2006,2,2450000
1,714,1082,10011,1,0,1,2006,2,4700000
1,714,1122,10011,1,0,1,2006,2,4000000
1,714,1129,10011,1,0,1,2006,2,2175000
1,714,1141,10011,1,0,1,2006,2,4500000
1,716,1010,10011,1,0,1,1920,2,1180000
1,716,1106,10011,1,0,1,0,2,1050000
1,716,1127,10011,1,0,1,0,2,2735000
1,716,1141,10011,1,0,1,0,2,3815000
1,716,1201,10011,1,0,1,2007,2,3000000
1,716,1226,10011,1,0,1,2007,2,1575000
1,716,1228,10011,1,0,1,2007,2,2200000
1,716,1405,10011,1,0,1,2008,2,2150000
1,716,1406,10011,1,0,1,2008,2,2657500
1,717,1002,10011,1,0,1,1920,2,2965000
1,717,1003,10011,1,0,1,1920,2,2395000
1,717,1027,10011,1,0,1,1920,2,1440000
1,717,1028,10011,1,0,1,1920,2,1222000
1,717,1034,10011,1,0,1,1920,2,1180000
1,717,1134,10011,1,0,1,1987,2,775595
1,717,1136,10011,1,0,1,1987,2,730000
1,717,1143,10011,1,0,1,1987,2,805000
1,718,1211,10011,1,0,1,1931,2,3375000
1,718,1219,10011,1,0,1,1931,2,4250000
1,720,1017,10011,1,0,1,1984,2,999000
1,720,1109,10011,1,0,1,1900,2,925000
1,722,1017,10001,1,0,1,0,2,975000
1,722,1025,10001,1,0,1,0,2,1995000
1,722,1068,10001,1,0,1,0,2,1495000
1,722,1068,10001,1,0,1,0,2,1425000
1,723,1001,10001,1,0,1,0,2,1750000
1,723,1012,10001,1,0,1,0,2,2350000
1,723,1026,10001,1,0,1,0,2,1950000
1,723,1042,10001,1,0,1,0,2,2575000
1,738,1102,10011,1,0,1,1920,2,2250000
1,738,1120,10011,1,0,1,1920,2,3175000
1,738,1307,10014,1,0,1,1960,2,2125000
1,738,1311,10014,1,0,1,1960,2,2000000
1,738,1314,10014,1,0,1,1960,2,2600000
1,738,1315,10014,1,0,1,1960,2,2955000
1,742,1014,10011,1,0,1,1950,2,882000
1,742,1016,10011,1,0,1,1950,2,968000
1,742,1020,10011,1,0,1,1950,2,1025000
1,742,1022,10011,1,0,1,1950,2,1145000
1,742,1043,10011,1,0,1,1950,2,675000
1,746,1115,10011,1,0,1,1983,2,1410000
1,746,1125,10011,1,0,1,1983,2,1440000
1,746,1410,10011,1,0,1,0,2,1820000
1,746,1515,10011,1,0,1,1948,2,388037
1,746,1580,10011,1,0,1,1948,2,525000
1,753,1122,10001,1,0,1,1925,2,820000
1,764,1206,10011,1,0,1,2009,2,1751390
1,766,1131,10011,1,0,1,1989,2,1750000
1,766,1182,10011,1,0,1,1989,2,977500
1,766,1222,10011,1,0,1,1989,2,1300000
1,766,1233,10011,1,0,1,1989,2,1325000
1,767,1107,10011,1,0,1,0,2,1900000
1,767,1235,10011,1,0,1,0,2,5250000
1,767,1523,10011,1,0,1,1929,2,16900000
1,767,1532,10011,1,0,1,1929,2,14750000
1,767,1547,10011,1,0,1,1929,2,10000000
1,767,1550,10011,1,0,1,1929,2,17500000
1,768,1029,10011,1,0,1,1939,2,900000
1,768,1043,10011,1,0,1,1939,2,935000
1,768,1063,10011,1,0,1,1939,2,975000
1,768,1147,10011,1,0,1,0,2,250000
1,769,1315,10011,1,0,1,0,2,3025000
1,769,1336,10011,1,0,1,0,2,3200000
1,769,1338,10011,1,0,1,0,2,3500000
1,769,1341,10011,1,0,1,0,2,2700000
1,769,1407,10011,1,0,1,0,2,3350000
1,769,1413,10011,1,0,1,0,2,4450000
1,773,1004,10011,1,0,1,2004,2,2050000
1,774,1034,10001,1,0,1,0,2,1750000
1,774,1035,10001,1,0,1,0,2,3060000
1,774,1039,10001,1,0,1,0,2,2788000
1,774,1042,10001,1,0,1,0,2,1500000
1,774,1042,10001,1,0,1,0,2,1500000
1,774,1114,10001,1,0,1,0,2,2600000
1,774,1171,10001,1,0,1,0,2,2275000
1,774,1176,10001,1,0,1,0,2,2600000
1,774,1210,10001,1,0,1,0,2,1750000
1,774,1264,10001,1,0,1,0,2,3100000
1,774,1285,10001,1,0,1,0,2,5500000
1,774,1333,10001,1,0,1,0,2,5300000
1,774,1350,10001,1,0,1,0,2,4550000
1,775,1204,10001,1,0,1,2014,2,3050000
1,775,1227,10001,1,0,1,2014,2,2562500
1,775,1243,10001,1,0,1,2014,2,1600000
1,793,1025,10011,1,0,1,1899,2,2700000
1,793,1035,10011,1,0,1,1899,2,2945000
1,793,1060,10011,1,0,1,1907,2,1700000
1,793,1213,10011,1,0,1,0,2,2550000
1,793,1237,10011,1,0,1,0,2,3050000
1,793,1252,10011,1,0,1,0,2,3828219
1,793,1521,10011,1,0,1,2006,2,3400000
1,793,1522,10011,1,0,1,2006,2,2270000
